player,gsis_id,bucket,rating_0_100,tier,n_eff
Calijah Kancey,00-0039063,DL,49.6,B,1280
Jordan Phillips,00-0031557,DL,49.5,B,3501
Trent Scott,00-0034571,OL,49.5,B,2047
Vederian Lowe,00-0037287,OL,49.5,B,1530
Jack Stoll,00-0036741,TE,49.4,B,1763
Darrell Taylor,00-0036413,DL,49.4,B,1875
TJ Bass,00-0038731,OL,49.4,B,948
Mitchell Tinsley,00-0038839,WR,49.4,B,273
Jarrian Jones,00-0039353,DB,49.4,B,1199
Jeff Wilson,00-0034115,RB,49.3,B,1514
Jahlani Tavai,00-0035240,LB,49.3,B,3679
Leo Chenal,00-0037819,LB,49.3,B,1689
Spencer Rattler,00-0039376,QB,49.3,B,828
DJ Reader,00-0032424,DL,49.2,B,5345
Tyquan Lewis,00-0034359,DL,49.2,B,2544
Tedarrell Slaton,00-0036642,DL,49.2,B,2179
Dayo Odeyingbo,00-0036480,DL,49.2,B,2307
Kingsley Enagbare,00-0037083,LB,49.2,B,1909
Laken Tomlinson,00-0032234,OL,49.1,B,9391
Mike Pennel,00-0030757,DL,49.1,B,2648
Juice Scruggs,00-0038936,OL,49.1,B,1721
Cam Hart,00-0039369,DB,49.1,B,1107
Roy Robertson-Harris,00-0032667,DL,49.0,B,4159
Dorance Armstrong,00-0034373,DL,49.0,B,3304
Isaac Yiadom,00-0034780,DB,49.0,B,2505
Darnay Holmes,00-0036394,DB,49.0,B,1847
Hakeem Adeniji,00-0036310,OL,49.0,B,1422
Joshua Uche,00-0036159,LB,49.0,B,1501
Larry Borom,00-0036905,OL,49.0,B,2450
Calvin Ridley,00-0034837,WR,48.9,B,4374
Taven Bryan,00-0034842,DL,48.9,B,2837
Isaiah Hodgins,00-0036165,WR,48.9,B,1405
Aidan O'Connell,00-0038579,QB,48.9,B,1063
Jarvis Brownlee Jr.,00-0039372,DB,48.9,B,1243
Jaylen Reed,00-0040204,DB,48.9,B,169
Rock Ya-Sin,00-0035637,DB,48.8,B,3422
Cole Holcomb,00-0035286,LB,48.7,B,3265
Josh Oliver,00-0035249,TE,48.7,B,2119
Jamin Davis,00-0036614,LB,48.7,B,2163
Michael Carter,00-0036924,RB,48.7,B,1606
Ryan Miller,00-0038824,WR,48.6,B,390
Marcus Davenport,00-0034344,DL,48.5,B,2670
Cedrick Wilson Jr.,00-0034418,WR,48.5,B,2202
Khyiris Tonga,00-0036909,DL,48.5,B,1306
Isaiah Pola-Mao,00-0037512,DB,48.5,B,2103
Bam Knight,00-0037157,RB,48.5,B,464
Javon Bullard,00-0039867,DB,48.5,B,1524
Raheim Sanders,00-0040466,RB,48.5,B,56
Ashton Dulin,00-0035021,WR,48.4,B,1030
