nhl_game_id,team,is_home,pp_xgf,pp_shots
2013021017,OTT,1,0.3586,5
2013021018,BUF,1,0.2007,2
2013021018,MTL,0,0.0155,3
2013021019,PHI,0,1.9348,11
2013021019,PIT,1,0.4367,6
2013021020,CHI,1,0.2891,5
2013021020,DET,0,0.581,7
2013021021,DAL,0,0.0542,2
2013021021,WPG,1,0.4939,7
2013021022,MIN,0,0.0343,4
2013021023,TBL,1,0.5189,6
2013021023,VAN,0,1.0291,9
2013021024,STL,1,0.3492,1
2013021024,WPG,0,0.2052,1
2013021025,ARI,0,0.5888,12
2013021025,LAK,1,1.1264,12
2013021026,BOS,0,0.0452,6
2013021026,NJD,1,0.4366,4
2013021027,MIN,0,0.862,7
2013021027,NYI,1,0.8601,11
2013021028,DAL,0,0.0732,8
2013021028,PIT,1,0.718,8
2013021029,CAR,0,0.9769,12
2013021029,CBJ,1,0.0755,2
2013021030,COL,0,0.0446,5
2013021030,MTL,1,0.542,7
2013021031,NYR,0,0.0453,6
2013021031,OTT,1,0.3953,4
2013021032,DET,1,0.4367,8
2013021032,TOR,0,0.7499,5
2013021033,CHI,0,0.0734,5
2013021033,PHI,1,0.9914,15
2013021034,BUF,0,0.0292,3
2013021034,CGY,1,0.0989,1
2013021035,EDM,1,0.7279,8
2013021035,NSH,0,0.1252,8
2013021036,ANA,1,1.838,19
2013021036,WSH,0,1.5709,6
2013021037,FLA,0,0.0126,2
2013021037,SJS,1,1.4252,23
2013021038,TBL,0,1.1747,8
2013021038,TOR,1,0.5056,8
2013021039,CHI,1,0.3746,5
2013021039,STL,0,0.0503,5
2013021040,COL,0,0.0261,2
2013021040,WPG,1,0.1685,3
2013021041,NSH,0,0.0337,5
2013021041,VAN,1,0.0352,1
2013021042,MIN,0,0.5044,11
2013021042,NJD,1,1.1035,12
2013021043,DAL,0,0.9426,9
2013021043,PHI,1,0.5543,8
2013021044,CBJ,0,0.209,19
2013021044,MTL,1,0.7194,6
2013021045,OTT,1,0.3485,7
2013021045,TBL,0,1.904,10
2013021046,DET,1,0.8357,8
2013021046,PIT,0,0.82,19
2013021047,BUF,0,0.7398,7
2013021047,EDM,1,2.3432,20
2013021048,ARI,1,0.4208,3
2013021048,FLA,0,0.0239,4
2013021049,LAK,1,1.2374,12
2013021049,WSH,0,0.127,9
2013021050,ANA,0,1.2914,6
2013021050,SJS,1,0.4182,4
2013021051,CBJ,1,0.1192,2
2013021051,NYR,0,0.9294,12
2013021052,CAR,0,0.734,13
2013021052,CHI,1,0.3294,7
2013021053,BOS,0,0.4126,2
2013021053,COL,1,0.551,7
2013021054,CGY,1,0.2554,2
2013021054,NSH,0,0.5073,2
2013021055,PHI,1,0.321,6
2013021055,STL,0,1.8204,13
2013021056,PIT,1,1.5866,16
2013021056,TBL,0,1.0296,7
2013021057,DET,0,1.3622,6
2013021057,MIN,1,0.4281,6
2013021058,DAL,1,0.6753,7
2013021058,OTT,0,1.7147,7
2013021059,FLA,0,0.1587,14
2013021059,LAK,1,0.3114,6
2013021060,MTL,0,0.0391,5
2013021060,TOR,1,0.3753,5
2013021061,NJD,1,0.097,1
2013021061,NYR,0,0.0345,5
2013021062,CAR,0,0.7986,3
2013021062,WPG,1,1.0661,7
2013021063,ARI,1,0.733,6
2013021063,BOS,0,0.0428,4
2013021064,CGY,0,0.1796,6
2013021064,EDM,1,0.3153,5
2013021065,SJS,1,0.6821,12
2013021065,WSH,0,0.0269,5
2013021066,CBJ,0,0.1057,10
2013021066,NYI,1,0.5869,9
2013021067,PIT,1,1.2943,12
2013021067,STL,0,0.0404,5
2013021068,NJD,1,0.4767,4
2013021068,TOR,0,0.9877,7
2013021069,CHI,1,1.0239,11
2013021069,NSH,0,0.4229,4
2013021070,DET,1,0.2502,3
2013021070,MIN,0,0.4163,4
2013021071,BUF,0,0.6555,3
2013021071,VAN,1,0.1133,3
2013021072,ANA,1,0.8898,10
2013021072,FLA,0,0.3883,3
2013021073,ARI,0,1.1986,5
2013021073,NYR,1,0.1597,2
2013021074,LAK,0,0.03,4
2013021074,PHI,1,0.6498,7
2013021075,BOS,1,1.0459,10
2013021075,MTL,0,1.3634,12
2013021076,OTT,0,1.7687,8
2013021076,TBL,1,1.7152,16
2013021077,DAL,1,1.0519,10
2013021077,WPG,0,2.1551,8
2013021078,CGY,1,0.4212,6
2013021078,SJS,0,0.0703,6
2013021079,STL,0,0.6337,4
2013021079,TOR,1,0.6165,5
2013021080,ARI,0,0.9761,8
2013021080,PIT,1,0.3661,3
2013021081,LAK,0,0.8627,13
2013021081,WSH,1,0.7841,8
2013021082,CAR,1,0.5767,8
2013021082,NYI,0,0.3425,8
2013021083,BUF,0,0.0921,3
2013021083,MTL,1,0.9159,8
2013021084,FLA,1,0.9269,5
2013021084,OTT,0,0.251,6
2013021085,CBJ,1,0.7819,7
2013021085,DET,0,0.0262,3
2013021086,CHI,1,0.4169,5
2013021086,DAL,0,0.0387,3
2013021087,NSH,1,0.1427,2
2013021088,EDM,1,0.2133,3
2013021088,SJS,0,2.216,8
2013021089,MIN,1,0.6681,7
2013021089,VAN,0,0.6002,1
2013021090,NYR,1,0.0554,2
2013021090,PHI,0,0.0382,4
2013021091,ANA,0,0.4519,6
